"FileTitle","MetadataTitle","Extension","MB","Duration","Directory","FullName","LastWriteTime"
"屏幕录制 2025-09-17 001928","",".mp4","3388.62","00:53:11","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-09-17 001928.mp4","2025/9/17 0:19:28"
"$RQT4SYV","",".mp4","1626.48","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RQT4SYV.mp4","2026/2/28 7:50:38"
"$RL9FQ17","",".mp4","1497.42","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RL9FQ17.mp4","2026/2/26 10:45:00"
"$RYFX7H2","",".mp4","1468.41","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RYFX7H2.mp4","2026/2/17 22:27:49"
"$RB150VN","",".mp4","1443.37","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RB150VN.mp4","2026/2/25 8:20:52"
"$R77FQHN","",".mp4","1434.6","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$R77FQHN.mp4","2026/2/15 20:19:22"
"$RTPBCV2","",".mp4","1309.49","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RTPBCV2.mp4","2026/2/14 21:25:50"
"$RJAQKB7","",".mp4","1260.06","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RJAQKB7.mp4","2026/2/1 16:30:57"
"$RSNMLPA","",".mp4","1209.27","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RSNMLPA.mp4","2026/2/21 10:47:08"
"$RONMKFS","",".mp4","1089.91","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RONMKFS.mp4","2026/2/27 11:18:42"
"屏幕录制 2025-06-25 091905","",".mp4","1032.35","00:34:25","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-06-25 091905.mp4","2025/6/25 9:19:05"
"$R58IX7L","",".mp4","894.29","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$R58IX7L.mp4","2026/2/16 20:42:40"
"寻找薇薇安.迈尔_Finding Vivian Maier_BD中英双字","Ѱ��ޱޱ��.����_Finding Vivian Maier_BD��Ӣ˫��",".rmvb","894.05","01:23:58","D:\薇薇安·迈尔Vivian Maier 摄影集\Vivian Maier珍藏合集\纪录片","D:\薇薇安·迈尔Vivian Maier 摄影集\Vivian Maier珍藏合集\纪录片\寻找薇薇安.迈尔_Finding Vivian Maier_BD中英双字.rmvb","2021/11/8 10:07:09"
"屏幕录制 2025-06-25 083954","",".mp4","868.9","00:25:46","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-06-25 083954.mp4","2025/6/25 8:39:54"
"f738b21137ae6e6456fdccf6d1f9fb46_raw","",".mp4","805.56","","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2026-01","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2026-01\f738b21137ae6e6456fdccf6d1f9fb46_raw.mp4","2026/1/30 20:58:02"
"VID_20241020_113104","",".mp4","633.66","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile\VID_20241020_113104.mp4","2024/10/20 11:38:41"
"VID_20241020_113104","",".mp4","633.66","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile\VID_20241020_113104.mp4","2024/10/20 11:38:41"
"Screenrecorder-2024-10-26-19-06-27-500","",".mp4","543.76","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile\Screenrecorder-2024-10-26-19-06-27-500.mp4","2024/10/26 19:11:57"
"Screenrecorder-2024-10-26-19-06-27-500","",".mp4","543.76","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile\Screenrecorder-2024-10-26-19-06-27-500.mp4","2024/10/26 19:11:57"
"$R0DRGIW","",".mp4","520.28","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$R0DRGIW.mp4","2026/3/1 6:41:21"
